,Bedroom,Bathroom,Super_area,Carpet_area,Furnished_status,Water_availability,Locality,Age_of_construction,Facing,Tenant,Owner,Floor,Security_deposit,Availability_status,Overlooking,Monthly_charges,Brokerage,Rent,covered_parking,open_parking
150,2.0,2,772.0,552.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,5.0,200000,Immediately Available,Garden/Park,0,0,32000,1,0
151,2.0,2,1050.0,730.0,Furnished,12 Hours Available,Mulund,10 to 15 years,East,Family / Bachelors ,Agent,9.0,200000,Immediately Not Available,Pool,0,0,38000,0,0
152,2.0,2,750.0,600.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Owner,3.0,100000,Immediately Available,Garden/Park,3000,0,25000,0,4
153,1.0,2,650.0,500.0,Semi-Furnished,12 Hours Available,Mulund,Above 20 years,East,Bachelors,Agent,7.0,0,Immediately Available,Main Road,0,0,20000,0,0
154,1.0,2,600.0,450.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,North - West,Bachelors,Agent,7.0,0,Immediately Available,Not Mentioned,0,0,21000,0,0
155,1.0,2,600.0,475.0,Unfurnished,12 Hours Available,Mulund,15 to 20 years,Not Mentioned,Family / Bachelors ,Agent,2.0,100000,Immediately Not Available,Not Mentioned,0,23100,23100,0,0
156,1.0,2,600.0,550.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,5.0,100000,Immediately Available,Not Mentioned,1000,0,25000,0,1
157,2.0,2,1000.0,650.0,Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family,Agent,5.0,200000,Immediately Available,Main Road,4500,40000,40000,0,1
158,2.0,2,960.0,670.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,9.0,200000,Immediately Available,Garden/Park,2000,41000,41000,0,1
159,2.0,2,1000.0,630.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North,Family / Bachelors ,Agent,15.0,200000,Immediately Not Available,Main Road,0,40000,40000,0,0
160,3.0,2,1475.0,925.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,200000,Immediately Not Available,Not Mentioned,0,48000,48000,1,0
161,3.0,2,850.0,653.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,Not Mentioned,Family,Owner,12.0,200000,Immediately Available,Main Road,0,0,37000,1,0
162,2.0,2,1000.0,740.0,Unfurnished,24 Hours Available,Mulund,10 to 15 years,East,Bachelors,Agent,10.0,1,Immediately Available,Garden/Park,5000,0,37000,1,0
163,2.0,2,1165.0,732.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,15.0,240000,Immediately Not Available,Not Mentioned,0,0,41000,0,0
164,1.0,2,550.0,500.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,North - East,Family / Bachelors ,Owner,3.0,90000,Immediately Available,Garden/Park,0,0,19000,0,0
165,2.0,2,1035.0,674.0,Semi-Furnished,24 Hours Available,Mulund,15 to 20 years,East,Family,Agent,14.0,200000,Immediately Available,Garden/Park,0,0,36000,1,1
166,2.0,2,1100.0,830.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,20.0,258000,Immediately Available,Garden/Park,0,0,43000,0,1
167,2.0,2,850.0,680.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,East,Bachelors,Agent,6.0,200000,Immediately Not Available,Main Road,0,0,40000,0,0
168,2.0,2,850.0,600.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,North - East,Bachelors,Agent,10.0,100000,Immediately Not Available,Garden/Park,0,25000,25000,0,0
169,1.0,1,605.0,745.5711920529801,Unfurnished,12 Hours Available,Mulund,10 to 15 years,North - East,Family / Bachelors ,Owner,2.0,0,Immediately Not Available,Main Road,0,0,30000,0,0
170,3.0,3,1650.0,1250.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,North,Bachelors,Agent,25.0,300000,Immediately Available,Main Road,0,60000,60000,1,0
171,2.0,2,1250.0,950.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,North - East,Family / Bachelors ,Owner,3.0,0,Immediately Available,Main Road,0,0,35000,0,1
172,1.0,1,555.0,400.0,Unfurnished,12 Hours Available,Mulund,5 to 10 years,South,Bachelors,Owner,5.0,125000,Immediately Not Available,Not Mentioned,0,0,26000,0,0
173,2.0,2,970.0,745.5711920529801,Unfurnished,12 Hours Available,Mulund,5 to 10 years,North - East,Bachelors,Owner,5.0,0,Immediately Not Available,Garden/Park,0,0,33000,0,0
174,3.0,3,1600.0,1100.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,East,Family,Agent,5.0,300000,Immediately Available,Garden/Park,5000,0,56000,1,0
175,1.0,1,650.0,745.5711920529801,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Owner,1.0,100000,Immediately Not Available,Main Road,0,0,22000,1,0
176,2.0,2,650.0,555.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,South,Family / Bachelors ,Owner,3.0,0,Immediately Available,Not Mentioned,0,0,22000,0,1
177,2.0,2,1200.0,850.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,East,Family,Agent,2.0,200000,Immediately Available,Garden/Park,0,24000,36000,1,0
178,2.0,2,900.0,680.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,East,Family / Bachelors ,Agent,1.0,200000,Immediately Available,Main Road,4200,40000,40000,0,1
179,1.0,1,500.0,460.0,Unfurnished,12 Hours Available,Mulund,15 to 20 years,North - East,Bachelors,Owner,0.0,80000,Immediately Available,Garden/Park,0,0,20000,0,0
180,2.0,2,1138.0,770.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,4.0,100000,Immediately Available,Main Road,0,0,38000,0,1
181,3.0,3,1500.0,1000.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,North,Family / Bachelors ,Agent,5.0,200000,Immediately Available,Main Road,5800,0,43000,1,0
182,2.0,3,1035.0,745.5711920529801,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Owner,14.0,0,Immediately Not Available,Not Mentioned,0,0,38500,0,0
183,4.0,4,3021.0,2200.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North,Bachelors,Agent,8.0,500000,Immediately Not Available,Garden/Park,0,80000,80000,0,0
184,1.0,1,500.0,440.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,West,Family / Bachelors ,Agent,1.0,100000,Immediately Available,Garden/Park,1900,22000,22000,0,1
185,1.0,2,350.0,250.0,Unfurnished,12 Hours Available,Mulund,Above 20 years,Not Mentioned,Bachelors,Agent,2.0,40000,Immediately Not Available,Not Mentioned,0,17000,17000,0,0
186,1.0,1,480.0,320.0,Unfurnished,12 Hours Available,Mulund,New Construction,North - East,Bachelors,Owner,23.0,150000,Immediately Available,Garden/Park,1500,0,35000,0,0
187,1.0,2,400.0,745.5711920529801,Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family / Bachelors ,Owner,0.0,0,Immediately Available,Main Road,0,0,23000,1,2
188,1.0,2,650.0,490.0,Unfurnished,12 Hours Available,Thane,New Construction,Not Mentioned,Family / Bachelors ,Agent,5.0,70000,Immediately Not Available,Garden/Park,0,0,14500,0,0
189,2.0,2,630.0,421.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,9.0,125000,Immediately Available,Garden/Park,0,24000,24000,1,0
190,3.0,3,1850.0,1292.0,Unfurnished,24 Hours Available,Thane,New Construction,North,Bachelors,Agent,19.0,151000,Immediately Available,Garden/Park,0,55000,55000,2,0
191,3.0,2,1100.0,765.0,Semi-Furnished,12 Hours Available,Thane,15 to 20 years,North - East,Bachelors,Agent,6.0,125000,Immediately Not Available,Main Road,0,23000,23000,0,0
192,2.0,2,1087.0,712.0,Unfurnished,24 Hours Available,Thane,New Construction,North,Family,Agent,3.0,100000,Immediately Available,Not Mentioned,1000,25000,25000,1,0
193,2.0,2,723.0,523.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,5.0,75000,Immediately Available,Garden/Park,0,14500,14500,0,0
194,1.0,2,705.0,486.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,11.0,50000,Immediately Available,Garden/Park,0,12000,12000,0,0
195,1.0,2,630.0,415.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,6.0,75000,Immediately Available,Garden/Park,0,14000,14000,0,1
196,1.0,1,550.0,380.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,1.0,50000,Immediately Available,Garden/Park,2000,17000,17000,0,1
197,1.0,1,620.0,470.0,Semi-Furnished,12 Hours Available,Thane,5 to 10 years,East,Family,Agent,19.0,80000,Immediately Available,Garden/Park,0,17000,17000,0,0
198,1.0,2,660.0,430.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,1.0,75000,Immediately Available,Garden/Park,0,12300,12300,0,2
199,1.0,1,390.0,290.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,2.0,40000,Immediately Available,Garden/Park,0,10000,10000,0,0
200,2.0,2,723.0,523.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,9.0,75000,Immediately Available,Garden/Park,1,15000,15000,0,0
201,2.0,2,999.0,676.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,7.0,100000,Immediately Available,Garden/Park,0,25000,25000,1,0
202,2.0,2,840.0,650.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,North - East,Family,Agent,7.0,100000,Immediately Available,Garden/Park,3500,20000,20000,1,0
203,2.0,2,1050.0,750.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,4.0,151000,Immediately Available,Garden/Park,0,30000,30000,0,1
204,1.0,1,650.0,450.0,Unfurnished,12 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,2.0,60000,Immediately Not Available,Garden/Park,0,13500,13500,0,0
205,3.0,4,1800.0,1100.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family,Agent,2.0,150000,Immediately Available,Garden/Park,1000,35000,35000,1,0
206,2.0,2,1250.0,710.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,6.0,100000,Immediately Available,Garden/Park,0,23000,23000,1,0
207,1.0,1,625.0,462.0,Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,10.0,60000,Immediately Available,Main Road,1,16000,16000,0,1
208,2.0,2,950.0,650.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,Not Mentioned,Family / Bachelors ,Agent,8.0,100000,Immediately Available,Garden/Park,1000,22000,22000,0,1
209,1.0,1,750.0,500.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,7.0,12000,Immediately Available,Garden/Park,1200,0,12500,0,1
210,1.0,1,650.0,500.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,North,Family / Bachelors ,Agent,1.0,100000,Immediately Available,Not Mentioned,0,18000,18000,0,0
211,2.0,2,750.0,552.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,8.0,80000,Immediately Available,Garden/Park,0,17500,17500,0,1
212,2.0,2,990.0,730.0,Furnished,24 Hours Available,Thane,5 to 10 years,North - West,Family / Bachelors ,Agent,6.0,180000,Immediately Available,Garden/Park,3500,32000,32000,0,1
213,2.0,2,1322.0,870.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,4.0,100000,Immediately Available,Garden/Park,0,23000,23000,1,0
214,1.0,2,610.0,428.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,6.0,50000,Immediately Available,Garden/Park,0,13500,13500,1,0
215,2.0,2,950.0,725.0,Furnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,7.0,200000,Immediately Available,Main Road,0,31000,31000,0,1
216,2.0,2,865.0,650.0,Furnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,5.0,150000,Immediately Available,Garden/Park,0,25000,25000,0,1
217,4.0,5,3145.0,2200.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,25.0,500000,Immediately Available,Garden/Park,3000,100000,100000,3,1
218,1.0,2,565.0,450.0,Furnished,24 Hours Available,Thane,10 to 15 years,East,Bachelors,Agent,6.0,0,Immediately Available,Garden/Park,0,0,21000,0,0
219,3.0,3,1581.0,955.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,9.0,150000,Immediately Available,Garden/Park,0,0,32000,1,0
220,1.0,2,600.0,430.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,6.0,60000,Immediately Available,Garden/Park,0,13900,13900,0,1
221,1.0,1,520.0,427.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,5.0,60000,Immediately Available,Garden/Park,0,13500,13500,0,0
222,2.0,2,1233.0,771.0,Semi-Furnished,24 Hours Available,Thane,New Construction,North - East,Family / Bachelors ,Agent,10.0,100000,Immediately Available,Garden/Park,0,0,20000,1,0
223,2.0,2,900.0,700.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,2.0,125000,Immediately Available,Main Road,0,26000,26000,0,1
224,2.0,2,856.0,535.0,Semi-Furnished,24 Hours Available,Thane,New Construction,North,Family / Bachelors ,Agent,9.0,130000,Immediately Available,Garden/Park,0,32000,32000,1,0
225,1.0,2,669.0,453.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,12.0,100000,Immediately Available,Garden/Park,0,16000,16000,0,1
226,1.0,1,600.0,425.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,North - East,Family / Bachelors ,Agent,2.0,65000,Immediately Available,Garden/Park,0,14000,14000,0,0
227,2.0,2,1200.0,800.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,10.0,200000,Immediately Available,Garden/Park,0,32000,32000,1,0
228,1.0,2,600.0,450.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,North,Family,Agent,4.0,100000,Immediately Available,Main Road,0,20500,20500,0,1
229,2.0,2,1095.0,765.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,9.0,121000,Immediately Available,Garden/Park,100,35000,35000,0,1
230,3.0,3,1650.0,1352.0,Furnished,24 Hours Available,Thane,5 to 10 years,East,Bachelors,Agent,21.0,151000,Immediately Available,Garden/Park,100,65000,65000,3,0
231,1.0,2,728.0,455.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,10.0,200000,Immediately Available,Main Road,1,0,26000,1,0
232,2.0,2,1000.0,700.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,7.0,100000,Immediately Available,Main Road,0,0,21500,1,0
233,3.0,4,1712.0,1260.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,7.0,390000,Immediately Available,Garden/Park,1,65000,65000,2,0
234,3.0,3,1350.0,900.0,Semi-Furnished,24 Hours Available,Thane,New Construction,West,Family / Bachelors ,Agent,7.0,150000,Immediately Available,Garden/Park,0,32000,32000,2,0
235,3.0,3,1350.0,1100.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,8.0,151000,Immediately Available,Garden/Park,0,35000,35000,0,1
236,3.0,3,1650.0,1324.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - East,Bachelors,Agent,5.0,151000,Immediately Available,Garden/Park,0,45000,45000,2,0
237,2.0,2,1050.0,750.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,14.0,100000,Immediately Available,Garden/Park,1,22000,22000,1,0
238,3.0,3,1845.0,1324.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,12.0,300000,Immediately Available,Main Road,0,50000,50000,2,0
239,1.0,2,595.0,450.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,North - East,Family,Agent,5.0,100000,Immediately Available,Main Road,0,20000,20000,0,0
240,2.0,2,951.0,650.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,12.0,150000,Immediately Available,Garden/Park,2,25000,25000,1,0
241,2.0,2,1050.0,700.0,Furnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,12.0,100000,Immediately Available,Main Road,1,23000,23000,0,1
242,2.0,2,1396.0,855.0,Furnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,27.0,180000,Immediately Available,Garden/Park,4200,40000,40000,2,0
243,2.0,2,850.0,600.0,Semi-Furnished,12 Hours Available,Thane,5 to 10 years,North - West,Bachelors,Agent,4.0,90000,Immediately Not Available,Garden/Park,0,20000,20000,0,0
244,1.0,2,650.0,451.0,Semi-Furnished,12 Hours Available,Thane,5 to 10 years,West,Bachelors,Agent,3.0,75000,Immediately Available,Garden/Park,0,17000,17000,0,0
245,2.0,2,737.0,470.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,6.0,100000,Immediately Available,Garden/Park,0,26000,26000,1,0
246,2.0,2,1000.0,753.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,North - East,Bachelors,Agent,3.0,111000,Immediately Available,Garden/Park,0,25000,25000,1,0
247,3.0,3,1500.0,1100.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,7.0,200000,Immediately Available,Garden/Park,0,23000,23000,1,0
248,1.0,1,600.0,450.0,Unfurnished,24 Hours Available,Thane,Above 20 years,North,Family,Agent,3.0,100000,Immediately Available,Main Road,3000,14167,17000,0,1
249,1.0,2,650.0,419.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,7.0,100000,Immediately Not Available,Main Road,5000,20000,20000,1,0
250,1.0,1,619.0,440.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,13.0,50000,Immediately Available,Garden/Park,0,12000,12000,0,1
251,3.0,3,1900.0,1200.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North,Bachelors,Agent,9.0,384000,Immediately Available,Garden/Park,5000,64000,64000,1,0
252,4.0,4,2425.0,1800.0,Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,9.0,500000,Immediately Available,Garden/Park,1,0,80000,1,1
253,1.0,1,620.0,490.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,6.0,100000,Immediately Available,Garden/Park,1,20000,20000,0,1
254,2.0,2,1100.0,750.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,West,Family / Bachelors ,Agent,5.0,120000,Immediately Available,Main Road,1,0,25000,0,1
255,1.0,1,630.0,510.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,1.0,100000,Immediately Available,Main Road,1,18500,18500,0,3
256,1.0,1,650.0,500.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Bachelors,Agent,3.0,100000,Immediately Available,Main Road,1,17000,17000,0,0
257,1.0,1,350.0,320.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,7.0,100000,Immediately Not Available,Not Mentioned,0,14000,14000,0,0
258,1.0,1,650.0,500.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,0.0,100000,Immediately Available,Garden/Park,0,22000,22000,0,0
259,1.0,1,630.0,450.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,7.0,100000,Immediately Available,Main Road,1,21000,21000,0,1
260,1.0,1,450.0,745.5711920529801,Unfurnished,24 Hours Available,Thane,Above 20 years,West,Family / Bachelors ,Agent,2.0,60000,Immediately Available,Main Road,1,15000,15000,0,1
261,2.0,2,1000.0,800.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,6.0,150000,Immediately Not Available,Not Mentioned,0,26000,26000,0,0
262,2.0,2,900.0,800.0,Semi-Furnished,24 Hours Available,Thane,Above 20 years,East,Family,Owner,2.0,150000,Immediately Available,Garden/Park,2200,0,30000,0,0
263,1.0,1,225.0,180.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,4.0,15000,Immediately Not Available,Main Road,0,0,4750,0,0
264,1.0,1,400.0,745.5711920529801,Unfurnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Not Available,Not Mentioned,0,0,17000,0,0
265,2.0,2,960.0,700.0,Semi-Furnished,24 Hours Available,Thane,15 to 20 years,Not Mentioned,Family,Agent,6.0,150000,Immediately Available,Garden/Park,0,0,35000,0,10
266,1.0,1,1000.0,300.0,Unfurnished,12 Hours Available,Thane,Above 20 years,East,Family / Bachelors ,Agent,2.0,60000,Immediately Not Available,Not Mentioned,500,13000,13000,0,0
267,1.0,2,700.0,745.5711920529801,Unfurnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,2.0,0,Immediately Not Available,Not Mentioned,0,0,20000,0,0
268,1.0,1,400.0,745.5711920529801,Semi-Furnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,3.0,0,Immediately Not Available,Not Mentioned,0,0,3500,0,0
269,2.0,1,600.0,745.5711920529801,Furnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,3.0,25000,Immediately Not Available,Not Mentioned,0,0,7000,0,0
270,1.0,1,1000.0,450.0,Unfurnished,12 Hours Available,Thane,Above 20 years,East,Family / Bachelors ,Agent,2.0,100000,Immediately Not Available,Not Mentioned,0,18000,18000,0,0
271,1.0,1,650.0,490.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Agent,5.0,120000,Immediately Available,Garden/Park,0,19000,19000,0,2
272,1.0,1,100.0,745.5711920529801,Semi-Furnished,12 Hours Available,Thane,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,1.0,30000,Immediately Not Available,Not Mentioned,0,0,5500,0,0
273,2.0,2,1050.0,776.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,East,Family,Agent,11.0,125000,Immediately Available,Garden/Park,0,26000,26000,1,0
274,1.0,1,750.0,480.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,7.0,100000,Immediately Available,Garden/Park,0,17000,17000,0,1
275,2.0,2,700.0,551.0,Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,24.0,150000,Immediately Available,Garden/Park,0,45000,30000,1,0
276,3.0,3,1400.0,1068.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North,Bachelors,Agent,2.0,250000,Immediately Available,Garden/Park,0,38000,38000,2,0
277,3.0,3,1200.0,780.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,15.0,240000,Immediately Available,Main Road,0,58500,39000,0,1
278,1.0,2,630.0,419.0,Furnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,10.0,0,Immediately Available,Garden/Park,0,0,22000,0,0
279,3.0,3,1503.0,1074.0,Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family,Agent,10.0,200000,Immediately Available,Main Road,0,0,34000,1,0
280,2.0,2,1066.0,762.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family,Agent,15.0,150000,Immediately Available,Garden/Park,0,0,33000,1,0
281,3.0,3,1503.0,1074.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,7.0,200000,Immediately Available,Garden/Park,0,0,34000,1,0
282,3.0,3,1477.0,1055.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family,Agent,5.0,250000,Immediately Available,Not Mentioned,0,0,30000,1,0
283,2.0,2,1100.0,800.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,25.0,100000,Immediately Not Available,Garden/Park,0,32000,32000,0,0
284,1.0,1,610.0,454.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,5.0,17000,Immediately Available,Garden/Park,0,0,17000,0,1
285,2.0,1,1000.0,650.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,2.0,180000,Immediately Available,Garden/Park,1,0,28000,0,0
286,1.0,1,600.0,462.0,Semi-Furnished,24 Hours Available,Thane,15 to 20 years,North - East,Family / Bachelors ,Agent,4.0,80000,Immediately Available,Garden/Park,0,18000,18000,0,1
287,3.0,2,1205.0,870.0,Furnished,24 Hours Available,Thane,5 to 10 years,East,Family,Agent,16.0,175000,Immediately Available,Garden/Park,0,35000,35000,1,0
288,2.0,2,812.0,580.0,Unfurnished,12 Hours Available,Thane,New Construction,North - East,Bachelors,Agent,15.0,85000,Immediately Not Available,Pool,0,10000,20000,0,0
289,2.0,2,1200.0,779.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,15.0,121000,Immediately Available,Garden/Park,1,23000,23000,1,1
290,2.0,2,1000.0,650.0,Semi-Furnished,24 Hours Available,Thane,New Construction,North - East,Family / Bachelors ,Agent,15.0,100000,Immediately Available,Garden/Park,0,25500,25500,1,0
291,1.0,1,600.0,425.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,North - East,Family / Bachelors ,Agent,2.0,60000,Immediately Available,Garden/Park,0,14000,14000,0,1
292,2.0,2,1000.0,660.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,East,Family,Agent,6.0,100000,Immediately Available,Garden/Park,4000,25000,25000,1,0
293,3.0,3,1100.0,900.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,18.0,150000,Immediately Available,Main Road,0,0,30000,1,0
294,1.0,1,550.0,420.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,West,Family / Bachelors ,Agent,1.0,70000,Immediately Available,Garden/Park,0,15000,15000,0,1
295,2.0,2,950.0,630.0,Unfurnished,12 Hours Available,Thane,New Construction,South,Family / Bachelors ,Agent,12.0,150000,Immediately Not Available,Garden/Park,0,25000,25000,0,0
296,2.0,2,1090.0,700.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,10.0,100000,Immediately Available,Garden/Park,2,25500,25500,1,0
297,3.0,3,1650.0,1120.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family,Agent,17.0,150000,Immediately Available,Garden/Park,0,35000,35000,2,0
298,3.0,3,1600.0,1165.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,7.0,250000,Immediately Available,Pool,7000,46000,46000,1,0
299,3.0,3,1450.0,950.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family,Agent,25.0,200000,Immediately Available,Garden/Park,0,0,30000,1,0
300,1.0,2,650.0,490.0,Semi-Furnished,24 Hours Available,Thane,New Construction,Not Mentioned,Family / Bachelors ,Agent,5.0,70000,Immediately Available,Garden/Park,0,0,14500,1,0
301,2.0,2,1000.0,685.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,West,Family,Agent,14.0,75000,Immediately Available,Garden/Park,0,17000,17000,1,0
